Titre	Compositeur	Ark BnF (TUM)	F14 (Euterpe --> concerts prévisionnels de la PP)	F14 (Philharmonie)	
Le Carnaval des animaux	Camille Saint-Saëns	http://catalogue.bnf.fr/ark:/12148/cb13918517c	http://data.doremus.org/work/3d8e8cb6-dc1f-360a-9951-ed9e8238309d	doremus:work/4a3b5d5f-a494-366d-96d2-d82683f8f282	
Iberia	Claude Debussy	http://catalogue.bnf.fr/ark:/12148/cb13911394k	http://data.doremus.org/work/7ea5d810-6814-3829-ad3e-7814f2fe4a17	http://data.doremus.org/work/cb4e477a-5d31-3f1b-93f2-2b5ba09daa0f	
La Mer	Claude Debussy	http://catalogue.bnf.fr/ark:/12148/cb140051277	http://data.doremus.org/work/ef29347e-7423-33c1-ab85-0fca2e7debb0	doremus:work/4e1d8dff-6814-394a-a9cb-63754df05507	
La Mer	Claude Debussy	http://catalogue.bnf.fr/ark:/12148/cb140051277	http://data.doremus.org/work/4f1888fa-761e-3580-8a5f-8f8925a43e7f	doremus:work/4e1d8dff-6814-394a-a9cb-63754df05507	
La Mer	Claude Debussy	http://catalogue.bnf.fr/ark:/12148/cb140051277	http://data.doremus.org/work/85b39a99-d190-3ab4-9eb0-1376fef0a78f	doremus:work/4e1d8dff-6814-394a-a9cb-63754df05507	
Prélude à l'après midi d'un faune	Claude Debussy	http://catalogue.bnf.fr/ark:/12148/cb13911386z	http://data.doremus.org/work/0704a8f0-20b8-33b2-af9c-a8298d8ef198	doremus:work/4a99afd4-ded5-3cf7-baf6-a87dbc83bc57	Attention, titre à corriger dans Euterpe
Il ritorno d'Ulisse	Claudio Monteverdi	http://catalogue.bnf.fr/ark:/12148/cb139164853	http://data.doremus.org/work/a165973a-76ff-3460-b71d-6cf358724e05	doremus:work/1cee4dd0-d187-3fed-a3a7-fe7bf814975a	
L'incoronazione di Poppea	Claudio Monteverdi	http://catalogue.bnf.fr/ark:/12148/cb440095148	http://data.doremus.org/work/ed1635ed-080d-3203-9dc3-bd60d4e1e608	doremus:work/b6fce9b2-309d-3955-b09b-0136835258de	
L'Orfeo	Claudio Monteverdi	http://catalogue.bnf.fr/ark:/12148/cb431630915	http://data.doremus.org/work/e2482f8d-7487-3928-aa40-448bf5099e04	doremus:work/46fbb4b9-4c97-388d-88a6-59a1365fb818	
Requiem	Giuseppe Verdi	http://catalogue.bnf.fr/ark:/12148/cb13920580d	http://data.doremus.org/work/6b4e3047-daf8-3edd-bee4-d739345242cc	doremus:work/4932df16-201c-3f20-b1d9-5b96b55f94f9	
Falstaff	Giuseppe Verdi	http://catalogue.bnf.fr/ark:/12148/cb139200027	http://data.doremus.org/work/68510f30-d3c5-38fe-aba7-1777c8c56cc0	doremus:work/1aa5b306-e1e5-316d-a658-36cc56e3b636	
La traviata	Giuseppe Verdi	http://catalogue.bnf.fr/ark:/12148/cb13920589h	http://data.doremus.org/work/501304e0-5601-3956-9cc6-df6bc669e441	doremus:work/3c011d0c-0a84-3b12-84f2-5d1e48fa3e54	
